0.00000 0.19570 0.01693 -0.08967 0.15092 -0.01414 -0.02942
0.00100 0.19281 0.01193 -0.09243 0.14232 -0.02212 -0.02002
0.00200 0.19511 0.01377 -0.09305 0.14104 -0.01822 -0.02188
0.00300 0.19208 0.01392 -0.08264 0.13218 -0.02164 -0.01388
0.00400 0.19610 0.01844 -0.09361 0.13820 -0.00641 -0.03614
0.00500 0.19356 0.02137 -0.09607 0.13866 -0.00141 -0.03801
0.00600 0.19094 0.02502 -0.09695 0.14052 0.00414 -0.03933
0.00700 0.18613 0.02426 -0.09477 0.13994 0.00479 -0.03841
0.00800 0.18311 0.01863 -0.09942 0.14339 0.01040 -0.03790
0.00900 0.17472 0.01186 -0.09177 0.14142 0.01046 -0.03246
0.01000 0.16970 0.01244 -0.08637 0.14190 0.01331 -0.03819
0.01100 0.16381 0.01701 -0.07142 0.14030 0.01347 -0.04035
0.01200 0.16171 0.02445 -0.06789 0.14146 0.01814 -0.04539
0.01300 0.15728 0.02480 -0.07130 0.13857 0.01824 -0.04209
0.01400 0.15938 0.02933 -0.08335 0.13830 0.02027 -0.04353
0.01500 0.16036 0.03116 -0.08510 0.13651 0.01774 -0.04195
0.01600 0.16047 0.02683 -0.08800 0.13528 0.01984 -0.04493
0.01700 0.15499 0.02050 -0.08552 0.13123 0.02139 -0.04077
0.01800 0.15343 0.01450 -0.08558 0.13042 0.02586 -0.04055
0.01900 0.14933 0.01612 -0.07514 0.12761 0.02684 -0.03770
0.02000 0.14470 0.02342 -0.06597 0.12740 0.02998 -0.04003
0.02100 0.13993 0.02642 -0.06301 0.12412 0.02989 -0.03872
0.02200 0.13898 0.02830 -0.06623 0.12261 0.03070 -0.04319
0.02300 0.13849 0.02889 -0.06419 0.11978 0.03175 -0.03908
0.02400 0.13928 0.02771 -0.06556 0.11692 0.03641 -0.03943
0.02500 0.13825 0.02354 -0.07017 0.11301 0.03706 -0.03373
0.02600 0.13662 0.02153 -0.07483 0.11092 0.04062 -0.03141
0.02700 0.13509 0.01883 -0.07780 0.10840 0.04363 -0.02315
0.02800 0.13427 0.01779 -0.07666 0.10767 0.04627 -0.01975
0.02900 0.13143 0.01484 -0.07363 0.10605 0.04452 -0.01776
0.03000 0.13076 0.02112 -0.07113 0.10554 0.04302 -0.02320
0.03100 0.13024 0.02611 -0.06538 0.10330 0.04095 -0.02562
0.03200 0.13057 0.02974 -0.05981 0.10172 0.04093 -0.02989
0.03300 0.13032 0.02611 -0.05934 0.09880 0.04107 -0.03071
0.03400 0.13212 0.02472 -0.06809 0.09676 0.04231 -0.03235
0.03500 0.13067 0.02289 -0.07518 0.09530 0.04177 -0.03049
0.03600 0.13025 0.02157 -0.08136 0.09399 0.04203 -0.02791
0.03700 0.12945 0.01760 -0.07972 0.09264 0.03941 -0.02379
0.03800 0.13052 0.01948 -0.07443 0.09327 0.03973 -0.02626
0.03900 0.13048 0.02129 -0.06867 0.09219 0.03840 -0.02801
0.04000 0.13135 0.01831 -0.06457 0.09214 0.03706 -0.03398
0.04100 0.13331 0.01396 -0.06316 0.09125 0.03544 -0.03546
0.04200 0.13807 0.01291 -0.07082 0.09283 0.03612 -0.03745
0.04300 0.13729 0.01459 -0.07350 0.09283 0.03209 -0.03811
0.04400 0.13520 0.01668 -0.08010 0.09405 0.02874 -0.04073
0.04500 0.13292 0.01437 -0.08749 0.09468 0.02389 -0.04006
0.04600 0.13282 0.01040 -0.09327 0.09680 0.02193 -0.04370
0.04700 0.13044 0.00566 -0.08681 0.09501 0.02124 -0.04067
0.04800 0.13226 -0.00129 -0.08723 0.09482 0.02045 -0.03606
0.04900 0.13474 -0.00464 -0.08720 0.09364 0.01992 -0.02943
0.05000 0.13945 -0.00518 -0.08651 0.09444 0.02162 -0.02613
0.05100 0.14508 -0.00821 -0.10016 0.09526 0.02008 -0.02633
0.05200 0.14996 -0.01078 -0.10523 0.09612 0.01788 -0.02688
0.05300 0.15141 -0.01238 -0.10409 0.09593 0.01514 -0.02419
0.05400 0.15277 -0.00894 -0.09446 0.09710 0.01494 -0.02293
0.05500 0.15484 -0.00371 -0.08032 0.09637 0.01454 -0.02131
0.05600 0.15448 0.00211 -0.07072 0.09582 0.01533 -0.01798
0.05700 0.15667 0.00126 -0.07403 0.09611 0.01471 -0.01509
0.05800 0.15959 -0.00039 -0.08345 0.09705 0.01800 -0.01342
0.05900 0.16320 -0.00345 -0.09735 0.09801 0.01708 -0.01552
0.06000 0.16632 -0.00479 -0.10367 0.09861 0.01616 -0.01874
0.06100 0.16802 -0.00656 -0.10224 0.10054 0.01501 -0.01709
0.06200 0.17139 -0.00125 -0.10402 0.10353 0.01726 -0.01194
0.06300 0.17366 0.00433 -0.09519 0.10372 0.01540 -0.01182
0.06400 0.17419 0.00908 -0.08748 0.10454 0.01195 -0.01641
0.06500 0.17358 0.01411 -0.08221 0.10566 0.01058 -0.01990
0.06600 0.17394 0.02028 -0.08137 0.10676 0.01147 -0.02606
0.06700 0.17621 0.02577 -0.08132 0.10679 0.01104 -0.02793
0.06800 0.17619 0.03377 -0.07583 0.10680 0.00956 -0.03105
0.06900 0.17631 0.03747 -0.06722 0.10787 0.00850 -0.03068
0.07000 0.17623 0.04354 -0.06096 0.10753 0.00597 -0.02682
0.07100 0.17548 0.04666 -0.05817 0.10571 0.00171 -0.02026
0.07200 0.17322 0.04710 -0.05789 0.10352 -0.00193 -0.01873
0.07300 0.17177 0.05365 -0.05375 0.10206 -0.00462 -0.02239
0.07400 0.17129 0.06099 -0.05139 0.10290 -0.00274 -0.02726
0.07500 0.17298 0.06763 -0.04405 0.10390 0.00122 -0.02651
0.07600 0.17169 0.06979 -0.04275 0.10390 0.00218 -0.02339
0.07700 0.17058 0.07425 -0.03747 0.10371 -0.00363 -0.02234
0.07800 0.16969 0.08038 -0.03231 0.10631 -0.00631 -0.02411
0.07900 0.17259 0.07711 -0.03310 0.10839 -0.01058 -0.02353
0.08000 0.17557 0.07135 -0.03308 0.10926 -0.01504 -0.02492
0.08100 0.17708 0.07087 -0.02784 0.11012 -0.02055 -0.02342
0.08200 0.17455 0.07105 -0.02364 0.11232 -0.02387 -0.01492
0.08300 0.17224 0.07029 -0.02269 0.11505 -0.02396 -0.01332
0.08400 0.17142 0.06107 -0.03625 0.11816 -0.02515 -0.01226
0.08500 0.17247 0.05540 -0.03806 0.12170 -0.02789 -0.00457
0.08600 0.17136 0.04949 -0.03702 0.12429 -0.02958 -0.00150
0.08700 0.17006 0.04988 -0.03274 0.12454 -0.02895 -0.00782
0.08800 0.17001 0.04660 -0.03449 0.12406 -0.02904 -0.00758
0.08900 0.17161 0.04328 -0.03789 0.12448 -0.03093 -0.00521
0.09000 0.17577 0.04179 -0.04256 0.12572 -0.03352 -0.00322
0.09100 0.17767 0.04258 -0.04181 0.12693 -0.03657 -0.00499
0.09200 0.17670 0.04043 -0.04365 0.12763 -0.03589 -0.01126
0.09300 0.17470 0.03920 -0.04700 0.12738 -0.03271 -0.01649
0.09400 0.17628 0.04135 -0.05252 0.12868 -0.03030 -0.01592
0.09500 0.17525 0.04192 -0.05005 0.12986 -0.02991 -0.01412
0.09600 0.17219 0.04170 -0.04839 0.13009 -0.02980 -0.02020
0.09700 0.17214 0.04145 -0.04420 0.13043 -0.03296 -0.02317
0.09800 0.17178 0.03871 -0.04559 0.12988 -0.03369 -0.01908
0.09900 0.17416 0.03903 -0.04693 0.13046 -0.03251 -0.01429
0.10000 0.17394 0.04510 -0.04447 0.13198 -0.02966 -0.01759
0.10100 0.17450 0.05756 -0.02720 0.13332 -0.02573 -0.02802
0.10200 0.17550 0.06745 -0.01705 0.13198 -0.02189 -0.03433
0.10300 0.17670 0.07241 -0.00889 0.13237 -0.01886 -0.04208
0.10400 0.17817 0.07563 -0.00423 0.13298 -0.01211 -0.04488
0.10500 0.18109 0.07880 -0.00270 0.13626 -0.01007 -0.04477
0.10600 0.18197 0.08353 0.00606 0.13593 -0.00942 -0.04271
0.10700 0.18263 0.08988 0.01644 0.13625 -0.01142 -0.04392
0.10800 0.18285 0.09397 0.02108 0.13956 -0.00762 -0.04340
0.10900 0.18468 0.09410 0.02399 0.14382 -0.00510 -0.04162
0.11000 0.18609 0.09160 0.02555 0.14611 -0.00109 -0.04279
0.11100 0.18637 0.08869 0.02847 0.14738 0.00572 -0.04459
0.11200 0.18383 0.08870 0.03646 0.14694 0.01191 -0.05164
0.11300 0.18484 0.09120 0.04769 0.14942 0.01045 -0.05884
0.11400 0.18488 0.09008 0.05318 0.15011 0.00771 -0.06481
0.11500 0.18435 0.09092 0.05791 0.15107 0.01113 -0.07392
0.11600 0.18301 0.08811 0.05733 0.15209 0.01380 -0.08376
0.11700 0.18459 0.08205 0.05310 0.15557 0.01217 -0.08767
0.11800 0.18420 0.07151 0.04547 0.15842 0.00943 -0.08321
0.11900 0.18339 0.06613 0.04488 0.16058 0.00951 -0.08658
0.12000 0.18067 0.06009 0.04801 0.16100 0.00978 -0.08780
0.12100 0.17966 0.05824 0.05362 0.15908 0.00797 -0.08497
0.12200 0.17936 0.05398 0.05345 0.16063 0.00732 -0.08445
0.12300 0.17774 0.04955 0.04943 0.16063 0.01121 -0.08216
0.12400 0.17527 0.04520 0.04442 0.15963 0.01307 -0.08262
0.12500 0.17420 0.04234 0.04127 0.15857 0.01501 -0.08302
0.12600 0.17208 0.03397 0.03307 0.15564 0.01794 -0.08352
0.12700 0.17099 0.02563 0.03357 0.15296 0.01815 -0.07625
0.12800 0.16794 0.01813 0.03480 0.15035 0.01602 -0.07354
0.12900 0.16640 0.01415 0.03259 0.15036 0.01564 -0.07613
0.13000 0.16549 0.01187 0.03341 0.14833 0.02006 -0.07664
0.13100 0.16486 0.00635 0.03561 0.14773 0.02376 -0.07058
0.13200 0.16461 -0.00255 0.03375 0.14540 0.02692 -0.07284
0.13300 0.16624 -0.01082 0.02812 0.14329 0.02903 -0.08402
0.13400 0.16498 -0.02111 0.01818 0.14079 0.02833 -0.09740
0.13500 0.16346 -0.03045 0.01349 0.13934 0.02679 -0.10028
0.13600 0.16241 -0.03812 0.01731 0.13924 0.02173 -0.09841
0.13700 0.16449 -0.04310 0.02341 0.13749 0.01814 -0.09537
0.13800 0.16721 -0.05035 0.02783 0.13598 0.01744 -0.08336
0.13900 0.16920 -0.05542 0.04187 0.13525 0.01664 -0.07891
0.14000 0.16927 -0.05491 0.05443 0.13630 0.01453 -0.08169
0.14100 0.16868 -0.05373 0.06245 0.13773 0.01691 -0.08060
0.14200 0.16819 -0.05398 0.07627 0.14302 0.01902 -0.07956
0.14300 0.16655 -0.05950 0.07822 0.14776 0.02081 -0.08431
0.14400 0.16247 -0.06684 0.07324 0.14748 0.02204 -0.09001
0.14500 0.16286 -0.07324 0.06391 0.14756 0.02026 -0.09532
0.14600 0.16220 -0.07371 0.05870 0.14760 0.01874 -0.10002
0.14700 0.15941 -0.07616 0.05253 0.14656 0.01674 -0.09495
0.14800 0.15726 -0.08360 0.04640 0.14623 0.01303 -0.08911
0.14900 0.15664 -0.08821 0.04252 0.14417 0.01343 -0.08425
0.15000 0.15497 -0.09068 0.03471 0.14422 0.01103 -0.07835
0.15100 0.15583 -0.09043 0.03563 0.14331 0.01019 -0.07369
0.15200 0.15795 -0.08507 0.03999 0.14197 0.01111 -0.06745
0.15300 0.16051 -0.08210 0.04186 0.13981 0.01250 -0.05838
0.15400 0.16274 -0.08247 0.03641 0.13756 0.00999 -0.05251
0.15500 0.16427 -0.07979 0.04292 0.13420 0.00467 -0.05152
0.15600 0.16328 -0.07649 0.04296 0.13321 0.00290 -0.04908
0.15700 0.16332 -0.07421 0.04218 0.13345 0.00254 -0.04159
0.15800 0.16444 -0.06936 0.03994 0.13368 0.00283 -0.03164
0.15900 0.16511 -0.06453 0.04365 0.13212 0.00264 -0.02371
0.16000 0.16370 -0.06012 0.04317 0.13029 0.00187 -0.01966
0.16100 0.16258 -0.05419 0.04175 0.12981 0.00137 -0.01953
0.16200 0.16066 -0.04660 0.04042 0.12831 -0.00041 -0.01986
0.16300 0.15784 -0.04110 0.04143 0.12584 -0.00275 -0.01809
0.16401 0.15558 -0.03728 0.04027 0.12559 -0.00512 -0.01640
0.16501 0.15275 -0.03408 0.03105 0.12514 -0.00556 -0.01502
0.16601 0.15070 -0.03100 0.01721 0.12352 -0.00641 -0.01229
0.16701 0.15007 -0.02448 0.01454 0.11977 -0.00712 -0.01292
0.16801 0.15111 -0.01922 0.01288 0.11641 -0.00709 -0.01630
0.16901 0.15221 -0.01673 0.00636 0.11456 -0.00918 -0.01875
0.17001 0.15227 -0.01080 0.00856 0.11320 -0.01087 -0.01945
0.17101 0.15213 -0.00647 0.01020 0.11120 -0.01221 -0.02061
0.17201 0.15334 -0.00003 0.01003 0.10850 -0.01221 -0.01959
0.17301 0.15380 0.00664 0.00615 0.10519 -0.01254 -0.02022
0.17401 0.15434 0.01273 0.00091 0.10159 -0.01172 -0.01878
0.17501 0.15456 0.01708 -0.00820 0.09970 -0.00825 -0.00840
0.17601 0.15521 0.01807 -0.02026 0.09639 -0.00541 -0.00393
0.17701 0.15788 0.01805 -0.03021 0.09371 -0.00602 -0.00289
0.17801 0.16091 0.01745 -0.04037 0.09248 -0.00390 0.00123
0.17901 0.16159 0.01570 -0.04207 0.09112 -0.00496 0.00515
0.18001 0.16213 0.02104 -0.03849 0.09097 -0.00386 0.00609
0.18101 0.16226 0.02558 -0.03531 0.08959 -0.00182 0.01194
0.18201 0.16199 0.02714 -0.03566 0.08984 0.00094 0.01170
0.18301 0.15835 0.02606 -0.04108 0.09046 -0.00045 0.00665
0.18401 0.15689 0.02451 -0.04441 0.08930 0.00266 0.00911
0.18501 0.15353 0.02688 -0.04242 0.08907 0.00382 0.00986
0.18601 0.15217 0.03370 -0.03753 0.08942 0.00414 0.00326
0.18701 0.14962 0.03687 -0.03612 0.08986 0.00358 0.00294
0.18801 0.14884 0.03804 -0.04323 0.09133 0.00450 0.00806
0.18901 0.14792 0.04028 -0.04777 0.09382 0.00272 0.01053
0.19001 0.14595 0.04128 -0.05576 0.09599 0.00112 0.00882
0.19101 0.14258 0.04323 -0.05837 0.09805 0.00006 0.00774
